business_type,annual_revenue,employee_count,current_tech_investment,customer_satisfaction,operational_efficiency,complexity_level,data_availability,workforce_skill_level,ai_integration_cost,potential_improvement,ai_beneficial
Finance,932186164.2011287,3506,7634274.123482752,1.3605320714562503,0.8311568693653599,Low,Moderate,5.5804760290835755,3840207.3145398316,0.07929278827205409,0
Tech,565568050.4056197,3556,9512649.806540247,3.623148221444145,0.8759125729783406,Medium,Moderate,3.8713953688552665,2973651.6106365086,0.22570366407553105,0
Healthcare,696954173.0530154,457,7055150.9651945885,2.867868425851331,0.9059731173189417,Medium,Poor,9.720710758740697,1380101.1490225536,0.023747654918157942,0
Tech,922576881.7961184,2761,3050716.865530487,3.1433198829912667,0.972874851112965,High,Rich,9.397698877595307,4911336.07920602,0.16886589998400173,0
Tech,707531395.6790853,3138,1143112.7302834792,9.175910966914378,0.6564597740144114,Medium,Moderate,8.836043213928887,4499700.713393835,0.3780421677566371,1
Manufacturing,153386503.8713471,1718,7840056.247114862,5.212621488108611,0.9292532272757772,Low,Rich,4.796468519703881,729726.7753761705,0.1664345258958688,0
Healthcare,576712071.8066463,197,6477077.292611567,5.196694716458369,0.5658434517181035,Low,Moderate,7.22171592401706,228175.87738475724,0.011585631762990975,0
Healthcare,607108331.336473,4377,577041.5226936326,7.8451807820975406,0.8525204531767964,Low,Moderate,9.125463763323681,3472820.7354301168,0.5854830211986971,1
Healthcare,424706540.6310836,3947,3664499.6124196853,2.390429836044332,0.870988864756993,Low,Moderate,8.653865389110353,3060240.081397022,0.16435606149887166,0
Tech,736707791.3890982,2000,9572318.173294432,5.385388186900457,0.8388616206006603,Low,Moderate,4.728943126181869,4685496.558144615,0.18070381848107878,0
Finance,934432647.7542459,415,5053971.342530992,4.869866927089538,0.6261573680675765,High,Rich,2.0114744439003465,1246625.9070858122,0.02530921538061749,0
Healthcare,925642944.3938695,1724,4384018.446595076,6.372196214919905,0.9365215735076017,High,Rich,1.6806732745109452,513500.94468543655,0.20576626930889313,0
Tech,451388532.03272796,4581,4631226.09107701,9.996019329253947,0.5844292316851976,Low,Rich,6.1935764070313235,1370155.1354827336,0.5352409154379043,1
Manufacturing,114124807.7949145,4544,2167938.967651121,7.925040046738424,0.5268173957604154,Medium,Rich,6.783651416898385,192745.4385061709,0.37942844936844977,1
Finance,984856357.7633722,2596,3750200.9915614724,4.580791327156844,0.8587324953059561,Low,Poor,8.648583441373217,275874.4808257689,0.20423637312660692,0
Manufacturing,839059188.3594881,612,3761151.2342730486,8.447977470466423,0.7377378576163669,High,Moderate,3.6326351830692793,4582803.249011722,0.07628448787509957,0
Finance,125538018.52206358,3612,618314.6998559767,2.5363752698123214,0.9245490099793381,Low,Moderate,2.5072344149503825,1824881.2542592036,0.16940303439287008,0
Tech,920921040.7347549,2539,7698919.5223273905,1.274173176780641,0.6916985705291294,High,Moderate,4.411052498603795,2112964.104947435,0.04475463638597533,0
Retail,870026465.7000662,822,4223393.875848402,2.8400353521784574,0.5841392942538564,High,Poor,4.182176112690476,190021.1072367116,0.027273569488802534,0
Finance,519319219.06894606,2087,8239580.879482591,4.063704005028337,0.9182210962349349,Low,Rich,2.1922205861606927,1425556.7228420482,0.15574774886936887,0
Manufacturing,591684160.3091843,3473,8518445.211086964,5.595226817136039,0.7744548158200358,Low,Moderate,7.050543872618369,4043157.320333012,0.30098756959831546,1
Tech,399603701.1662601,2617,2198741.141516715,6.536162264870798,0.5945978961951774,Medium,Rich,5.578227466564384,3115905.702366924,0.20341356529072915,0
Finance,55706877.1832093,1623,6607799.473484273,9.195451454929795,0.8601919992932229,High,Rich,7.490104805032897,3793524.945323435,0.25675385342028784,0
Retail,335862044.40425503,3744,4775589.861213519,5.588686085954119,0.7555568192447503,Medium,Poor,4.174220081527612,2291347.3298895466,0.3161860328286233,1
Retail,803050595.1494135,3341,8813551.705422703,5.511480801631564,0.80215649112016,Low,Poor,3.9313199041993205,1617673.1865815169,0.29541590412963614,0
Healthcare,5627390.981598256,1296,2235832.7238468956,1.452187088406839,0.7304491691032909,High,Rich,5.253182677394701,2465769.4573090146,0.02749461024667313,0
Healthcare,334165672.51945305,3769,6810350.683069438,1.3142039739060143,0.9143544919090032,Medium,Moderate,8.896666108556323,1683048.2351881808,0.09058024936851573,0
Manufacturing,398770524.8973524,3889,6116746.010301953,5.960439657247349,0.9147813578415249,Medium,Moderate,1.362531760605823,4210958.373702933,0.42409537867490027,1
Finance,537858207.3349849,409,3023484.6279611443,4.9436075192351,0.8546944109121931,Medium,Poor,8.243495355668248,1558601.206404944,0.03456273900042793,0
Finance,919935760.7963477,2426,1452348.9461466088,8.552623554822688,0.5527006886982311,Low,Poor,4.320888513919808,3332841.8382201106,0.22935602587154838,0
Healthcare,346999648.37159526,3059,6551233.628725038,2.4461162624066066,0.9194269309520344,Low,Poor,8.6915712320963,771212.8893166864,0.1375953597718998,0
Finance,347606248.69433147,3043,7412114.835510074,1.2247449590534463,0.8355064902664548,Low,Poor,8.219827079522709,3465645.8193010585,0.06227696456411751,0
Finance,737763746.8616387,1012,3224710.703257165,5.0413489113711325,0.8485120830021498,High,Poor,4.138851226564795,4575168.586840166,0.08657954423038555,0
Retail,452765722.9489173,3682,6483842.779820907,3.1373070107703174,0.6814914202019358,Low,Poor,7.244888817894544,3082057.4577355506,0.15744584075633558,0
Healthcare,225380218.11704198,1877,4011795.9853538824,1.446529360049537,0.9396397780785033,High,Poor,2.436694810960961,2843291.3621689384,0.051024988418361436,0
Tech,452987076.6165607,1663,7160748.144497915,7.52138458162866,0.8626858001174287,Medium,Moderate,9.066533969474092,4809479.5133060375,0.21581055913688224,0
Healthcare,141716163.35942006,1690,2072231.2214511258,2.0043369996152274,0.5562952332645972,Medium,Poor,4.640419580067185,3174243.121047647,0.03768710541347338,0
Tech,177210599.5197171,2266,8913128.526098127,6.474875500069945,0.7038890172030814,Low,Poor,5.100630538196802,1371797.1230381047,0.20655014885226658,0
Retail,498869404.96674025,4362,2945355.0050092395,3.529447751502002,0.9431901809800709,Medium,Moderate,7.351831459332864,1532716.016853928,0.2904167660356421,0
Manufacturing,419506524.05504334,427,3741081.2787859137,2.561464453195198,0.5235983508486894,Low,Moderate,8.387562130343658,3556002.5484260432,0.011453664931867662,0
Finance,914931055.1670319,4264,675110.3255954628,4.417763706273857,0.9807083098210247,High,Rich,3.1270846899538864,3703639.310071713,0.36947880461504173,1
Retail,363031505.2175165,4335,1203970.9019806364,8.213011986006583,0.8395812841597814,Medium,Poor,6.952151258892959,1587131.5357661746,0.5978390827076949,1
Finance,581007761.9277654,419,5207032.8368520485,4.528842192141155,0.8156879888216884,Low,Poor,4.527982395002336,1792185.491839018,0.0309567438633588,0
Manufacturing,632632023.6316109,2246,2749167.4996069176,7.756926842899501,0.6352796282439956,Medium,Poor,4.318326316035652,4956176.892821526,0.22135756664020212,0
Manufacturing,14081362.131745303,3797,8371254.234847724,2.129376671192356,0.6243958943695885,Medium,Poor,7.210232415465892,599567.4929433594,0.10096785343741198,0
Retail,663873834.6446939,701,245464.54768404303,7.954942776985712,0.9710291097442978,Low,Rich,4.484649467403409,2082760.6393564865,0.1082972236593018,0
Manufacturing,178857930.90288168,819,3853031.0818521683,3.132399924159838,0.6491362271170613,Medium,Moderate,4.114976501479669,405992.9028677865,0.033306342919518714,0
Tech,961109247.1519856,2471,3439720.9130140175,7.096538168999855,0.8877526483594997,Medium,Moderate,8.522995673136181,4123283.973791381,0.31134454476454076,1
Manufacturing,149514065.02535984,830,291343.54608425027,6.092033993568967,0.6965608991035396,Medium,Poor,1.9114851144790572,552494.610832618,0.07044164642043346,0
Finance,415209499.6032967,1766,1331247.1501050512,9.362302454905187,0.569627035392352,Medium,Poor,7.083033605471896,3402636.046667285,0.18836228730358331,0
Finance,86264318.41056521,4033,4195062.481694489,4.485902661777827,0.5053576488476794,High,Poor,3.2385285441156215,376768.77761706203,0.1828550280158434,0
Finance,996877377.5941014,1361,4979359.386029721,1.595486699509964,0.7721286685076254,Medium,Rich,1.1394841764357126,3396989.6852674866,0.033532890189286,0
Finance,502692815.32091135,3409,4102468.497823204,1.1723993699612762,0.9878894092744663,Medium,Rich,2.500878419854228,4230881.039945746,0.07896613879547097,0
Tech,595789632.3027238,572,5356283.016279729,8.441727048754778,0.6845680969046022,Low,Moderate,6.459953767982809,2054225.481927881,0.06611103951285162,0
Healthcare,68009400.91103905,571,5991803.581566247,5.722620738952889,0.6785961669965224,High,Poor,7.382144723373436,2658419.8178176666,0.04434783985433447,0
Retail,750210509.9287786,4928,198245.82916557274,7.977196466514544,0.672045808924721,Low,Poor,1.1895200520068805,2067554.5162258842,0.5283842455377215,1
Finance,210695687.50249016,2370,4694542.078589688,3.109830400103632,0.7602719186524292,Low,Poor,1.3278289897154814,1572394.9172999307,0.11206861276359883,0
Manufacturing,898156235.151273,985,9638642.484787125,4.105753709619104,0.7203324417121468,Low,Poor,9.122879033586578,4035990.6630729283,0.058262899615957084,0
